Shot#	Delay(mu~s)	Velocity(km/s)	Nozzle(mT)	DischargeV(kV)
1	0.341776414	76.07312529	0	2
2	0.378733379	68.64987729	0	2
3	0.361690101	71.88474317	0	2
4	0.344819219	75.40182955	0	2
5	0.368379715	70.57934768	0	2
7	0.096056958	270.6727403	0	2
8	0.46674691	55.7047073	0	2
9	0.261565074	99.40165037	0	2
11	0.225898828	115.095772	0	2
12	0.477881696	54.40677103	0	2
13	0.204413046	127.1934471	0	2
14	0.927944059	28.0189304	0	2
15	0.273833574	94.94818185	0	2
16	0.373849622	69.54667995	0	2
18	0.60700162	42.8334936	0	2
19	0.172302897	150.8970567	0	2
20	0.318717101	81.57704726	0	2
22	0.361480146	71.92649524	0	2
23	0.236321245	110.0197317	0	2
24	0.206008025	126.2086754	0	2
25	0.326772653	79.56602176	67	2
27	0.340480154	76.36274738	67	2
28	0.144650917	179.7430709	67	2
29	0.509762393	51.00415476	67	2
30	0.233011225	111.5826071	67	2
32	0.279463974	93.03524752	67	2
33	0.327089432	79.48896373	67	2
34	0.467159021	55.65556664	67	2
35	0.406544005	63.95371636	67	2
36	0.317680804	81.84315723	67	2
37	0.427837183	60.77078162	0	2
38	0.36552678	71.13021919	0	2
40	0.178834666	145.3856826	0	2
41	0.281556843	92.34369769	0	2
42	0.263504198	98.67015489	0	2
43	0.544187463	47.77765337	0	2
44	0.376216451	69.10915235	0	2
45	0.240980073	107.8927386	0	2
46	0.320257873	81.18457719	0	2
47	0.425667243	61.08057502	0	2
48	0.318997627	81.50530856	0	2
49	0.432836281	60.06890163	0	2
50	0.160090007	162.4086381	0	2
51	0.216589038	120.0430099	0	2
52	0.344431093	75.48679702	0	2
53	0.352422839	73.77501443	0	2
54	0.305452644	85.11957758	0	2
55	0.342131251	75.99422712	0	2
56	0.347954393	74.72243646	0	2
57	0.409613966	63.47439827	0	2
58	0.264677142	98.23288779	100	2
59	0.360064232	72.20933845	100	2
60	0.367286853	70.78935657	100	2
61	0.415923408	62.51150935	100	2
62	0.415731464	62.54037103	100	2
63	0.425085843	61.16411643	100	2
64	0.327932668	79.28456833	100	2
65	0.415891747	62.5162682	100	2
66	0.335907532	77.40225361	100	2
67	0.439168335	59.2028111	100	2
68	0.35125578	74.02013431	100	2
69	0.460890342	56.41255119	100	2
70	0.304170088	85.47849049	100	2
71	0.439901706	59.10411265	100	2
72	0.415612902	62.55821194	100	2
73	0.479787776	54.19062617	100	2
75	0.319914575	81.27169572	100	2
76	0.42116025	61.73422108	100	2
77	0.415742063	62.53877664	100	2
78	0.400306796	64.9501839	100	2
79	0.311779358	83.39230719	100	2
80	0.336200881	77.33471714	100	2
81	0.383233485	67.84375852	100	2
82	0.277755603	93.60747257	100	2
83	0.375539111	69.23380075	100	2
84	0.405113111	64.17960634	100	2
85	0.261085099	99.58438882	100	2
86	0.383962204	67.71499838	100	2
87	0.440124522	59.07419078	100	2
88	0.415644234	62.55349612	100	2
90	0.329380463	78.93607209	124	2
91	0.719982323	36.11199771	124	2
92	0.247395692	105.0947968	124	2
93	0.421402222	61.69877297	124	2
94	0.297714236	87.3320684	124	2
95	0.103878166	250.2932131	124	2
96	0.160240999	162.2556036	124	2
97	0.438501734	59.29280999	124	2
98	0.031897579	815.1088814	124	2
99	0.080497866	322.9899283	124	2
100	0.255393265	101.8037807	0	3.5
101	0.512245045	50.75695753	0	3.5
102	0.455685598	57.05688333	0	3.5
104	0.356270066	72.97834557	0	3.5
105	0.639980629	40.62622963	0	3.5
107	0.562212911	46.24582515	0	3.5
108	0.471795676	55.10860176	0	3.5
114	0.471910915	55.09514442	0	3.5
115	0.704846698	36.88745377	0	3.5
116	0.588085715	44.21124226	0	3.5
117	0.416113537	62.48294682	0	3.5
118	0.712049604	36.51431004	0	3.5
121	0.317365154	81.9245582	0	3.5
122	0.723413602	35.94071208	0	3.5
135	0.408359782	63.66934535	0	3.5
136	0.58993515	44.07264086	0	3.5
137	0.53299041	48.78136554	0	3.5
138	0.48000334	54.16628972	0	3.5
139	0.656033754	39.63210709	0	3.5
140	0.70381478	36.94153738	0	3.5
141	0.365008535	71.231211	0	3.5
143	0.383873269	67.73068644	0	3.5
