Shot	Delay	Velocity	Nozzle(mT)	DischargeV(kV)
57	0.106683173	243.7122865	110	2.5
60	0.66667803	38.99933526	110	2.5
61	0.317629322	81.85642244	110	2.5
62	0.231070529	112.5197579	110	2.5
65	0.201813101	128.8320721	110	2.5
66	0.746448527	34.83160466	110	2.5
67	0.368447443	70.56637391	110	2.5
68	0.352566781	73.74489434	110	2.5
69	0.396468092	65.57904791	110	2.5
70	0.389601771	66.73480963	110	2.5
72	0.261464098	99.44003848	110	2.5
74	0.19916233	130.5467755	110	2.5
75	0.311143952	83.5626076	110	2.5
76	0.663648771	39.17734976	110	2.5
77	0.189996527	136.8446069	110	2.5
78	0.381321795	68.18388128	110	2.5
81	0.215644256	120.5689428	110	2.5
83	0.127088907	204.581192	110	2.5
84	0.46826154	55.52452593	110	2.5
85	0.134487642	193.3263131	110	2.5
86	0.333886348	77.87080893	110	2.5
87	0.241695887	107.5732	110	2.5
90	0.268656296	96.77792937	110	2.5
91	0.302258125	86.01919308	110	2.5
95	0.601851879	43.19999806	110	2.5
96	0.237023	109.6939959	110	2.5
98	0.2349	110.685398	110	2.5
99	0.185446	140.2025387	110	2.5
100	0.515137035	50.47200693	110	2.5
102	0.528745752	49.17297187	110	2.5
104	0.4105418	63.33094462	110	2.5
105	0.263180679	98.79144675	110	2.5
108	0.217882	119.3306469	110	2.5
109	0.381927647	68.07572118	110	2.5
110	0.488612991	53.21184759	110	2.5
113	0.302561051	85.93307015	110	2.5
114	0.166435	156.2171418	110	2.5
116	0.12658403	205.3971579	110	2.5
119	0.560351025	46.39948681	110	2.5
120	0.176846786	147.0199182	110	2.5
121	0.209057911	124.3674535	110	2.5
125	0.255871	101.6137038	110	2.5
126	0.475061	54.72981364	110	2.5
128	0.232686134	111.7385017	110	2.5
130	0.386774462	67.22263893	110	2.5
132	0.553080803	47.009406	110	2.5
133	0.382028622	68.05772785	110	2.5
134	0.462404971	56.22776917	110	2.5
137	0.28127821	92.43517308	110	2.5
140	0.149583451	173.8160188	110	2.5
141	0.289232309	89.89313832	110	2.5
143	0.285799149	90.97297913	110	2.5
144	0.324704	80.07292796	110	2.5
145	0.302281075	86.01266226	110	2.5
146	0.750739978	34.63249695	110	2.5
147	0.277239197	93.78183266	110	2.5
149	0.144052759	180.4894272	110	2.5
151	0.304704482	85.32857737	110	2.5
152	0.081829016	317.7357029	110	2.5
156	0.453620119	57.31668173	110	2.5
157	0.111123046	233.9748682	110	2.5
158	0.607403136	42.80517905	110	2.5
160	0.325916138	79.77512312	110	2.5
161	0.325245516	79.93961097	110	2.5
164	0.619241358	41.98685968	110	2.5
167	0.477678282	54.42993949	110	2.5
169	0.06208752	418.7637055	110	2.5
173	0.074533017	348.8386884	110	2.5
174	0.514814978	50.50358115	110	2.5
175	0.099699101	260.7846985	110	2.5
178	0.461651505	56.31953911	110	2.5
179	0.54213467	47.95856355	110	2.5
208	0.40535392	64.1414792	55	2.5
209	0.403829028	64.38368267	55	2.5
210	0.391910452	66.34168559	55	2.5
211	0.50210633	51.78186061	55	2.5
212	0.312540367	83.18925405	55	2.5
213	0.348566662	74.59118389	55	2.5
214	0.407955881	63.73238189	55	2.5
215	0.24796296	104.8543701	55	2.5
216	0.304166805	85.47941331	55	2.5
217	0.168052082	154.7139412	55	2.5
218	0.304291553	85.44436991	55	2.5
219	0.312057109	83.31808277	55	2.5
220	0.319122576	81.47339608	55	2.5
221	0.329186448	78.98259519	55	2.5
222	0.248053263	104.8161982	55	2.5
223	0.352212856	73.81899765	55	2.5
224	0.287947747	90.29416006	55	2.5
225	0.311837508	83.37675665	55	2.5
226	0.31212487	83.29999462	55	2.5
227	0.335552887	77.48405986	55	2.5
228	0.32927641	78.96101648	55	2.5
229	0.304497095	85.38669308	55	2.5
230	0.343938764	75.59485214	55	2.5
231	0.232434619	111.8594126	55	2.5
232	0.328093849	79.24561852	55	2.5
233	0.296249204	87.76394879	55	2.5
234	0.283699943	91.64612339	55	2.5
235	0.33883609	76.73326653	55	2.5
236	0.27254306	95.39776929	55	2.5
237	0.354712337	73.29883196	55	2.5
238	0.360278704	72.16635265	55	2.5
239	0.351877914	73.88926384	55	2.5
240	0.319948644	81.26304171	55	2.5
241	0.361146503	71.99294403	55	2.5
242	0.327906573	79.29087785	55	2.5
243	0.327553672	79.37630443	55	2.5
244	0.311860631	83.37057464	55	2.5
245	0.27955674	93.00437542	55	2.5
246	0.368074292	70.63791344	55	2.5
247	0.296223618	87.77152927	55	2.5
248	0.311988834	83.33631584	55	2.5
249	0.320284065	81.177938	55	2.5
250	0.287979251	90.28428233	55	2.5
251	0.272261068	95.4965767	55	2.5
252	0.339074709	76.67926654	55	2.5
253	0.297193761	87.48501274	55	2.5
