Shot#	Delay	Velocity	Nozzle	DischargeV
11	0.312241546	83.26886779	110	3
12	0.375810021	69.18389232	110	3
13	0.384470501	67.62547437	110	3
14	0.351775741	73.91072482	110	3
16	0.352157169	73.83067071	110	3
17	0.297562773	87.37652146	110	3
18	0.424132455	61.30160454	110	3
19	0.408588413	63.63371832	110	3
21	0.360254589	72.17118338	110	3
22	0.415895715	62.51567177	110	3
23	0.399833936	65.02699665	110	3
24	0.328032279	79.26049259	110	3
25	1.348261394	19.28409441	110	3
26	0.641545849	40.52711125	110	3
27	0.368120025	70.62913781	110	3
28	0.359649045	72.29269859	110	3
29	0.335800263	77.42697925	110	3
30	0.415971925	62.50421825	110	3
