Shot#	Delay(mu~s)	Velocity(km/s)	Nozzle(mT)	DischargeV(kV)
3	0.351943178	73.876	110	3.5
4	0.471952064	55.090	110	3.5
5	0.406540687	63.954	110	3.5
6	0.18401877	141.290	110	3.5
7	0.335909585	77.402	110	3.5
8	0.1999767	130.015	110	3.5
9	0.368013372	70.650	110	3.5
10	0.360035706	72.215	110	3.5
11	0.19996377	130.024	110	3.5
12	0.207977968	125.013	110	3.5
13	0.407942335	63.734	110	3.5
14	0.399766345	65.038	110	3.5
19	0.432201039	60.157	110	3.5
20	0.279817764	92.918	110	3.5
21	0.304270516	85.450	110	3.5
22	0.519330967	50.064	110	3.5
23	0.4960565	52.413	110	3.5
24	0.375688556	69.206	110	3.5
25	0.287776787	90.348	110	3.5
26	0.351782001	73.909	110	3.5
27	0.399426477	65.093	110	3.5
28	0.27989825	92.891	110	3.5
29	0.299047849	86.943	110	3.5
30	0.344301003	75.515	110	3.5
31	0.468598945	55.485	110	3.5
32	0.247999218	104.839	110	3.5
36	0.343931478	75.596	110	3.5
37	0.32776178	79.326	110	3.5
39	0.336002111	77.380	110	3.5
40	0.384025963	67.704	110	3.5
41	0.288239043	90.203	110	3.5
43	0.41599669	62.500	110	3.5
44	0.392285689	66.278	110	3.5
46	0.288443389	90.139	110	3.5
47	0.375811115	69.184	110	3.5
48	0.280060796	92.837	110	3.5
49	0.456181136	56.995	110	3.5
50	0.400203358	64.967	110	3.5
51	0.36223192	71.777	110	3.5
